File,WaveData20240328_004.csv,
1507.845800,-1.7850E-008,1507.845800,2.0220E-005,1507.845800,5.3170E-009,1507.845800,-2.1410E-009,1507.845800,-2.1410E-009
1507.896700,1.7240E-009,1507.896700,2.0300E-005,1507.896700,2.5240E-009,1507.896700,1.1650E-008,1507.896700,1.1650E-008
1507.947600,1.6340E-008,1507.947600,2.0390E-005,1507.947600,1.4140E-009,1507.947600,2.0440E-008,1507.947600,2.0440E-008
1507.998500,2.7970E-008,1507.998500,2.0490E-005,1507.998500,5.0720E-009,1507.998500,-5.2430E-009,1507.998500,-5.2430E-009
1508.049400,2.8990E-008,1508.049400,2.0570E-005,1508.049400,8.0400E-009,1508.049400,1.9970E-008,1508.049400,1.9970E-008
1508.100300,6.4530E-008,1508.100300,2.0660E-005,1508.100300,5.0210E-009,1508.100300,2.0450E-008,1508.100300,2.0450E-008
1508.151200,5.4830E-008,1508.151200,2.0720E-005,1508.151200,6.2680E-009,1508.151200,1.2550E-008,1508.151200,1.2550E-008
1508.202100,6.7720E-008,1508.202100,2.0810E-005,1508.202100,8.0220E-009,1508.202100,5.1860E-009,1508.202100,5.1860E-009
1508.253000,6.5180E-008,1508.253000,2.0890E-005,1508.253000,7.1820E-009,1508.253000,4.2840E-009,1508.253000,4.2840E-009
1508.303900,6.6690E-008,1508.303900,2.0980E-005,1508.303900,8.1830E-009,1508.303900,1.1180E-008,1508.303900,1.1180E-008
1508.354800,9.2600E-008,1508.354800,2.1060E-005,1508.354800,1.0250E-008,1508.354800,1.0570E-008,1508.354800,1.0570E-008
1508.405700,9.0080E-008,1508.405700,2.1150E-005,1508.405700,9.9670E-009,1508.405700,-1.0490E-008,1508.405700,-1.0490E-008
1508.456600,1.8090E-007,1508.456600,2.1220E-005,1508.456600,1.5370E-008,1508.456600,1.1560E-008,1508.456600,1.1560E-008
1508.507500,3.4700E-007,1508.507500,2.1300E-005,1508.507500,2.7130E-008,1508.507500,1.3450E-008,1508.507500,1.3450E-008
1508.558400,6.2930E-007,1508.558400,2.1380E-005,1508.558400,4.9520E-008,1508.558400,1.6330E-008,1508.558400,1.6330E-008
1508.609300,9.8540E-007,1508.609300,2.1450E-005,1508.609300,8.8900E-008,1508.609300,3.2940E-008,1508.609300,3.2940E-008
1508.660200,1.3460E-006,1508.660200,2.1530E-005,1508.660200,1.2040E-007,1508.660200,4.9410E-008,1508.660200,4.9410E-008
1508.711100,1.6250E-006,1508.711100,2.1610E-005,1508.711100,1.4490E-007,1508.711100,5.4530E-008,1508.711100,5.4530E-008
1508.762000,1.8070E-006,1508.762000,2.1690E-005,1508.762000,1.6000E-007,1508.762000,6.4650E-008,1508.762000,6.4650E-008
1508.812900,1.9570E-006,1508.812900,2.1780E-005,1508.812900,1.7000E-007,1508.812900,9.0360E-008,1508.812900,9.0360E-008
1508.863800,1.9590E-006,1508.863800,2.1860E-005,1508.863800,1.7640E-007,1508.863800,9.7380E-008,1508.863800,9.7380E-008
1508.914700,1.9430E-006,1508.914700,2.1940E-005,1508.914700,1.7470E-007,1508.914700,7.0280E-008,1508.914700,7.0280E-008
1508.965600,1.9340E-006,1508.965600,2.2010E-005,1508.965600,1.7470E-007,1508.965600,8.7010E-008,1508.965600,8.7010E-008
1509.016500,1.9370E-006,1509.016500,2.2090E-005,1509.016500,1.7100E-007,1509.016500,7.9020E-008,1509.016500,7.9020E-008
1509.067400,1.9240E-006,1509.067400,2.2160E-005,1509.067400,1.7440E-007,1509.067400,7.5510E-008,1509.067400,7.5510E-008
1509.118300,1.9490E-006,1509.118300,2.2230E-005,1509.118300,1.7460E-007,1509.118300,7.9260E-008,1509.118300,7.9260E-008
1509.169200,1.9160E-006,1509.169200,2.2310E-005,1509.169200,1.7350E-007,1509.169200,7.9200E-008,1509.169200,7.9200E-008
1509.220100,1.9270E-006,1509.220100,2.2410E-005,1509.220100,1.7230E-007,1509.220100,8.3100E-008,1509.220100,8.3100E-008
1509.271000,1.9280E-006,1509.271000,2.2450E-005,1509.271000,1.7740E-007,1509.271000,9.2450E-008,1509.271000,9.2450E-008
1509.321900,1.8600E-006,1509.321900,2.2530E-005,1509.321900,1.7330E-007,1509.321900,1.0000E-007,1509.321900,1.0000E-007
1509.372800,1.9090E-006,1509.372800,2.2590E-005,1509.372800,1.6660E-007,1509.372800,8.2830E-008,1509.372800,8.2830E-008
1509.423700,1.8830E-006,1509.423700,2.2670E-005,1509.423700,1.6320E-007,1509.423700,5.8240E-008,1509.423700,5.8240E-008
1509.474600,1.6870E-006,1509.474600,2.2730E-005,1509.474600,1.4780E-007,1509.474600,7.1660E-008,1509.474600,7.1660E-008
1509.525500,1.4080E-006,1509.525500,2.2810E-005,1509.525500,1.3300E-007,1509.525500,7.7980E-008,1509.525500,7.7980E-008
1509.576400,1.0430E-006,1509.576400,2.2870E-005,1509.576400,1.0220E-007,1509.576400,6.8120E-008,1509.576400,6.8120E-008
1509.627300,7.0840E-007,1509.627300,2.2930E-005,1509.627300,6.7040E-008,1509.627300,4.6630E-008,1509.627300,4.6630E-008
1509.678200,4.6500E-007,1509.678200,2.3020E-005,1509.678200,4.1040E-008,1509.678200,3.2300E-008,1509.678200,3.2300E-008
1509.729100,2.3870E-007,1509.729100,2.3080E-005,1509.729100,2.7920E-008,1509.729100,1.0440E-008,1509.729100,1.0440E-008
1509.780000,1.5350E-007,1509.780000,2.3150E-005,1509.780000,1.3180E-008,1509.780000,1.5190E-008,1509.780000,1.5190E-008
1509.830900,1.1900E-007,1509.830900,2.3200E-005,1509.830900,1.1300E-008,1509.830900,1.5390E-008,1509.830900,1.5390E-008
1509.881800,7.7000E-008,1509.881800,2.3270E-005,1509.881800,5.9580E-009,1509.881800,-7.8930E-010,1509.881800,-7.8930E-010
1509.932700,7.8070E-008,1509.932700,2.3320E-005,1509.932700,5.3300E-009,1509.932700,-2.5020E-009,1509.932700,-2.5020E-009
1509.983600,5.5810E-008,1509.983600,2.3360E-005,1509.983600,4.8870E-009,1509.983600,-6.8320E-009,1509.983600,-6.8320E-009
1510.034500,7.1930E-008,1510.034500,2.3430E-005,1510.034500,8.9790E-009,1510.034500,3.1770E-008,1510.034500,3.1770E-008
1510.085400,4.3650E-008,1510.085400,2.3290E-005,1510.085400,4.4010E-009,1510.085400,-1.3410E-008,1510.085400,-1.3410E-008
1510.136300,4.4220E-008,1510.136300,2.3370E-005,1510.136300,4.5950E-009,1510.136300,-2.0750E-008,1510.136300,-2.0750E-008
1510.187200,9.1680E-008,1510.187200,2.3390E-005,1510.187200,3.8360E-009,1510.187200,1.8760E-008,1510.187200,1.8760E-008
1510.238100,1.2520E-008,1510.238100,2.3500E-005,1510.238100,6.9650E-009,1510.238100,1.4290E-008,1510.238100,1.4290E-008
1510.289000,1.8800E-008,1510.289000,2.3530E-005,1510.289000,6.8850E-009,1510.289000,2.5700E-009,1510.289000,2.5700E-009
1510.339900,3.6610E-008,1510.339900,2.3550E-005,1510.339900,3.6180E-009,1510.339900,1.3140E-008,1510.339900,1.3140E-008
1510.390800,3.7540E-008,1510.390800,2.3690E-005,1510.390800,5.4980E-009,1510.390800,5.2540E-009,1510.390800,5.2540E-009
1510.441700,4.6610E-008,1510.441700,2.3670E-005,1510.441700,1.7380E-009,1510.441700,2.5820E-009,1510.441700,2.5820E-009
1510.492600,4.6200E-008,1510.492600,2.3750E-005,1510.492600,8.2120E-009,1510.492600,-2.1640E-009,1510.492600,-2.1640E-009
1510.543500,3.8460E-008,1510.543500,2.3800E-005,1510.543500,2.9200E-009,1510.543500,1.2930E-008,1510.543500,1.2930E-008
1510.594400,2.8710E-008,1510.594400,2.3830E-005,1510.594400,3.3520E-009,1510.594400,1.6700E-008,1510.594400,1.6700E-008
1510.645300,5.2240E-008,1510.645300,2.3900E-005,1510.645300,6.5250E-009,1510.645300,-1.2160E-008,1510.645300,-1.2160E-008
1510.696200,5.6430E-008,1510.696200,2.3970E-005,1510.696200,1.2070E-008,1510.696200,1.8040E-008,1510.696200,1.8040E-008
1510.747100,6.6550E-008,1510.747100,2.3990E-005,1510.747100,4.5240E-009,1510.747100,3.7760E-009,1510.747100,3.7760E-009
1510.798000,7.6430E-008,1510.798000,2.4000E-005,1510.798000,4.4010E-009,1510.798000,1.2460E-008,1510.798000,1.2460E-008
1510.848900,6.1240E-008,1510.848900,2.4080E-005,1510.848900,8.4290E-009,1510.848900,1.6280E-008,1510.848900,1.6280E-008
1510.899800,6.8020E-008,1510.899800,2.4090E-005,1510.899800,8.0830E-009,1510.899800,-1.0260E-008,1510.899800,-1.0260E-008
1510.950700,7.1880E-008,1510.950700,2.4150E-005,1510.950700,7.2210E-009,1510.950700,1.5390E-008,1510.950700,1.5390E-008
1511.001600,6.1980E-008,1511.001600,2.4190E-005,1511.001600,1.8760E-009,1511.001600,2.3960E-008,1511.001600,2.3960E-008
1511.052500,8.5350E-008,1511.052500,2.4250E-005,1511.052500,5.2590E-009,1511.052500,9.6740E-009,1511.052500,9.6740E-009
1511.103400,3.2380E-008,1511.103400,2.4260E-005,1511.103400,7.6190E-009,1511.103400,4.9270E-009,1511.103400,4.9270E-009
1511.154300,7.0540E-008,1511.154300,2.4290E-005,1511.154300,6.8330E-009,1511.154300,-1.2430E-008,1511.154300,-1.2430E-008
1511.205200,6.7190E-008,1511.205200,2.4310E-005,1511.205200,8.2290E-009,1511.205200,2.9640E-009,1511.205200,2.9640E-009
1511.256100,7.0300E-008,1511.256100,2.4390E-005,1511.256100,1.0230E-008,1511.256100,-6.2910E-009,1511.256100,-6.2910E-009
1511.307000,6.2280E-008,1511.307000,2.4440E-005,1511.307000,9.2910E-009,1511.307000,7.1370E-009,1511.307000,7.1370E-009
1511.357900,5.9340E-008,1511.357900,2.4440E-005,1511.357900,5.2020E-009,1511.357900,1.8060E-008,1511.357900,1.8060E-008
1511.408800,7.0860E-008,1511.408800,2.4490E-005,1511.408800,6.9780E-009,1511.408800,7.9940E-009,1511.408800,7.9940E-009
1511.459700,7.2540E-008,1511.459700,2.4520E-005,1511.459700,9.4940E-009,1511.459700,2.0740E-008,1511.459700,2.0740E-008
1511.510600,3.7690E-008,1511.510600,2.4490E-005,1511.510600,1.0130E-008,1511.510600,1.4000E-008,1511.510600,1.4000E-008
1511.561500,5.0940E-008,1511.561500,2.4540E-005,1511.561500,6.3390E-009,1511.561500,-7.2720E-009,1511.561500,-7.2720E-009
1511.612400,6.0820E-008,1511.612400,2.4580E-005,1511.612400,7.6940E-009,1511.612400,-6.9800E-009,1511.612400,-6.9800E-009
1511.663300,3.4600E-008,1511.663300,2.4600E-005,1511.663300,5.8620E-009,1511.663300,3.6410E-009,1511.663300,3.6410E-009
1511.714200,5.1230E-008,1511.714200,2.4650E-005,1511.714200,1.4070E-009,1511.714200,2.2430E-008,1511.714200,2.2430E-008
1511.765100,1.2110E-008,1511.765100,2.4680E-005,1511.765100,4.9550E-009,1511.765100,8.0390E-009,1511.765100,8.0390E-009
1511.816000,1.5720E-008,1511.816000,2.4690E-005,1511.816000,4.1370E-009,1511.816000,-1.6790E-009,1511.816000,-1.6790E-009
1511.866900,2.7020E-008,1511.866900,2.4750E-005,1511.866900,2.7030E-009,1511.866900,2.8190E-008,1511.866900,2.8190E-008
1511.917800,1.6580E-008,1511.917800,2.4720E-005,1511.917800,4.6820E-009,1511.917800,5.6940E-009,1511.917800,5.6940E-009
1511.968700,2.1080E-009,1511.968700,2.4750E-005,1511.968700,8.8290E-009,1511.968700,1.7520E-008,1511.968700,1.7520E-008
1512.019600,3.2070E-008,1512.019600,2.4780E-005,1512.019600,1.7520E-009,1512.019600,1.6110E-008,1512.019600,1.6110E-008
1512.070500,2.0790E-008,1512.070500,2.4790E-005,1512.070500,-2.0780E-010,1512.070500,-2.5780E-008,1512.070500,-2.5780E-008
1512.121400,2.0350E-008,1512.121400,2.4800E-005,1512.121400,3.5700E-010,1512.121400,-8.9070E-010,1512.121400,-8.9070E-010
1512.172300,8.2650E-009,1512.172300,2.4850E-005,1512.172300,3.1750E-009,1512.172300,9.6970E-009,1512.172300,9.6970E-009
1512.223200,2.4700E-008,1512.223200,2.4850E-005,1512.223200,9.3030E-010,1512.223200,3.7800E-008,1512.223200,3.7800E-008
1512.274100,2.5280E-008,1512.274100,2.4810E-005,1512.274100,1.1840E-009,1512.274100,-9.5510E-009,1512.274100,-9.5510E-009
1512.325000,1.1990E-008,1512.325000,2.4860E-005,1512.325000,1.9460E-009,1512.325000,-1.0700E-009,1512.325000,-1.0700E-009
1512.375900,1.9360E-008,1512.375900,2.4870E-005,1512.375900,1.8000E-009,1512.375900,4.0580E-010,1512.375900,4.0580E-010
1512.426800,1.9220E-008,1512.426800,2.4860E-005,1512.426800,4.0110E-009,1512.426800,1.2070E-008,1512.426800,1.2070E-008
1512.477700,7.0470E-009,1512.477700,2.4890E-005,1512.477700,2.5690E-009,1512.477700,-5.4230E-009,1512.477700,-5.4230E-009
1512.528600,2.9670E-008,1512.528600,2.4870E-005,1512.528600,2.5610E-010,1512.528600,1.9210E-008,1512.528600,1.9210E-008
1512.579500,3.9860E-008,1512.579500,2.4940E-005,1512.579500,2.7080E-009,1512.579500,7.6000E-009,1512.579500,7.6000E-009
1512.630400,2.1890E-008,1512.630400,2.4920E-005,1512.630400,6.7990E-009,1512.630400,1.9530E-008,1512.630400,1.9530E-008
1512.681300,1.2270E-008,1512.681300,2.4930E-005,1512.681300,2.5350E-009,1512.681300,-1.4980E-008,1512.681300,-1.4980E-008
1512.732200,1.9840E-008,1512.732200,2.4920E-005,1512.732200,3.0710E-009,1512.732200,5.1410E-009,1512.732200,5.1410E-009
1512.783100,4.7340E-008,1512.783100,2.4900E-005,1512.783100,8.2980E-009,1512.783100,1.9100E-008,1512.783100,1.9100E-008
1512.834000,3.1430E-008,1512.834000,2.4910E-005,1512.834000,4.0540E-009,1512.834000,2.5930E-009,1512.834000,2.5930E-009
1512.884900,1.3130E-008,1512.884900,2.4910E-005,1512.884900,5.2200E-009,1512.884900,1.5460E-008,1512.884900,1.5460E-008
1512.935800,1.2070E-008,1512.935800,2.4930E-005,1512.935800,3.4330E-009,1512.935800,-1.6300E-008,1512.935800,-1.6300E-008
1512.986700,1.2830E-008,1512.986700,2.4930E-005,1512.986700,3.4830E-009,1512.986700,6.2120E-009,1512.986700,6.2120E-009
1513.037600,1.4160E-008,1513.037600,2.4910E-005,1513.037600,5.7380E-009,1513.037600,1.4760E-009,1513.037600,1.4760E-009
1513.088500,4.7200E-008,1513.088500,2.4910E-005,1513.088500,5.7480E-009,1513.088500,6.3360E-009,1513.088500,6.3360E-009
1513.139400,1.9950E-008,1513.139400,2.4890E-005,1513.139400,5.2370E-009,1513.139400,2.9310E-010,1513.139400,2.9310E-010
1513.190300,4.4420E-008,1513.190300,2.4900E-005,1513.190300,1.2290E-008,1513.190300,2.0120E-008,1513.190300,2.0120E-008
1513.241200,5.2260E-008,1513.241200,2.4870E-005,1513.241200,3.7980E-009,1513.241200,3.5840E-009,1513.241200,3.5840E-009
1513.292100,4.2790E-008,1513.292100,2.4890E-005,1513.292100,4.1520E-009,1513.292100,-4.2950E-009,1513.292100,-4.2950E-009
1513.343000,3.5700E-008,1513.343000,2.4850E-005,1513.343000,5.5000E-009,1513.343000,-3.1560E-010,1513.343000,-3.1560E-010
1513.393900,4.6280E-008,1513.393900,2.4870E-005,1513.393900,3.8080E-009,1513.393900,1.0330E-008,1513.393900,1.0330E-008
1513.444800,4.1370E-008,1513.444800,2.4830E-005,1513.444800,3.4670E-009,1513.444800,1.9130E-008,1513.444800,1.9130E-008
1513.495700,5.1040E-008,1513.495700,2.4850E-005,1513.495700,6.2370E-009,1513.495700,-6.7650E-010,1513.495700,-6.7650E-010
1513.546600,6.4030E-008,1513.546600,2.4860E-005,1513.546600,6.8670E-009,1513.546600,1.7220E-008,1513.546600,1.7220E-008
1513.597500,8.9530E-008,1513.597500,2.4810E-005,1513.597500,5.8490E-009,1513.597500,5.6710E-009,1513.597500,5.6710E-009
1513.648400,1.4090E-007,1513.648400,2.4820E-005,1513.648400,1.2730E-008,1513.648400,1.1650E-008,1513.648400,1.1650E-008
1513.699300,2.8360E-007,1513.699300,2.4810E-005,1513.699300,2.0390E-008,1513.699300,-2.8970E-009,1513.699300,-2.8970E-009
1513.750200,4.8510E-007,1513.750200,2.4780E-005,1513.750200,2.8530E-008,1513.750200,2.8520E-008,1513.750200,2.8520E-008
1513.801100,7.7790E-007,1513.801100,2.4760E-005,1513.801100,5.4960E-008,1513.801100,2.7880E-008,1513.801100,2.7880E-008
1513.852000,1.1470E-006,1513.852000,2.4700E-005,1513.852000,7.7250E-008,1513.852000,2.3590E-008,1513.852000,2.3590E-008
1513.902900,1.5420E-006,1513.902900,2.4720E-005,1513.902900,1.0530E-007,1513.902900,3.5820E-008,1513.902900,3.5820E-008
1513.953800,1.8550E-006,1513.953800,2.4700E-005,1513.953800,1.2480E-007,1513.953800,5.6860E-008,1513.953800,5.6860E-008
1514.004700,2.0590E-006,1514.004700,2.4650E-005,1514.004700,1.3740E-007,1514.004700,6.7680E-008,1514.004700,6.7680E-008
1514.055600,2.2040E-006,1514.055600,2.4600E-005,1514.055600,1.4990E-007,1514.055600,5.8620E-008,1514.055600,5.8620E-008
1514.106500,2.3140E-006,1514.106500,2.4620E-005,1514.106500,1.5670E-007,1514.106500,7.4260E-008,1514.106500,7.4260E-008
1514.157400,2.3370E-006,1514.157400,2.4610E-005,1514.157400,1.5430E-007,1514.157400,6.3540E-008,1514.157400,6.3540E-008
1514.208300,2.3350E-006,1514.208300,2.4550E-005,1514.208300,1.5820E-007,1514.208300,7.8140E-008,1514.208300,7.8140E-008
1514.259200,2.3150E-006,1514.259200,2.4550E-005,1514.259200,1.6410E-007,1514.259200,1.0320E-007,1514.259200,1.0320E-007
1514.310100,2.3790E-006,1514.310100,2.4500E-005,1514.310100,1.5720E-007,1514.310100,7.7220E-008,1514.310100,7.7220E-008
1514.361000,2.3730E-006,1514.361000,2.4480E-005,1514.361000,1.5980E-007,1514.361000,8.5430E-008,1514.361000,8.5430E-008
1514.411900,2.3640E-006,1514.411900,2.4430E-005,1514.411900,1.5780E-007,1514.411900,7.7520E-008,1514.411900,7.7520E-008
1514.462800,2.3180E-006,1514.462800,2.4440E-005,1514.462800,1.5610E-007,1514.462800,7.5080E-008,1514.462800,7.5080E-008
1514.513700,2.3700E-006,1514.513700,2.4410E-005,1514.513700,1.5370E-007,1514.513700,7.8750E-008,1514.513700,7.8750E-008
1514.564600,2.3270E-006,1514.564600,2.4380E-005,1514.564600,1.5060E-007,1514.564600,7.7380E-008,1514.564600,7.7380E-008
1514.615500,2.2580E-006,1514.615500,2.4340E-005,1514.615500,1.5620E-007,1514.615500,1.1140E-007,1514.615500,1.1140E-007
1514.666400,2.1270E-006,1514.666400,2.4310E-005,1514.666400,1.3990E-007,1514.666400,4.7610E-008,1514.666400,4.7610E-008
1514.717300,1.9340E-006,1514.717300,2.4210E-005,1514.717300,1.3190E-007,1514.717300,6.3940E-008,1514.717300,6.3940E-008
1514.768200,1.6720E-006,1514.768200,2.4200E-005,1514.768200,1.0890E-007,1514.768200,3.4460E-008,1514.768200,3.4460E-008
1514.819100,1.2650E-006,1514.819100,2.4130E-005,1514.819100,9.0710E-008,1514.819100,5.5740E-008,1514.819100,5.5740E-008
1514.870000,9.2010E-007,1514.870000,2.4110E-005,1514.870000,6.1440E-008,1514.870000,3.6960E-008,1514.870000,3.6960E-008
1514.920900,5.9610E-007,1514.920900,2.4060E-005,1514.920900,3.9480E-008,1514.920900,3.6720E-008,1514.920900,3.6720E-008
1514.971800,4.0710E-007,1514.971800,2.4030E-005,1514.971800,2.7170E-008,1514.971800,3.2270E-008,1514.971800,3.2270E-008
1515.022700,2.5180E-007,1515.022700,2.3980E-005,1515.022700,1.7010E-008,1515.022700,2.7530E-008,1515.022700,2.7530E-008
1515.073600,1.8590E-007,1515.073600,2.3910E-005,1515.073600,1.0200E-008,1515.073600,1.9780E-008,1515.073600,1.9780E-008
1515.124500,1.2050E-007,1515.124500,2.3900E-005,1515.124500,1.0660E-008,1515.124500,7.9570E-009,1515.124500,7.9570E-009
1515.175400,1.0410E-007,1515.175400,2.3790E-005,1515.175400,8.8000E-009,1515.175400,8.2950E-009,1515.175400,8.2950E-009
1515.226300,9.5670E-008,1515.226300,2.3800E-005,1515.226300,6.3790E-009,1515.226300,1.4390E-008,1515.226300,1.4390E-008
1515.277200,9.0990E-008,1515.277200,2.3750E-005,1515.277200,8.8310E-009,1515.277200,4.6270E-010,1515.277200,4.6270E-010
1515.328100,8.1530E-008,1515.328100,2.3700E-005,1515.328100,3.1010E-009,1515.328100,2.5960E-008,1515.328100,2.5960E-008
1515.379000,7.2150E-008,1515.379000,2.3650E-005,1515.379000,5.4960E-009,1515.379000,2.7070E-008,1515.379000,2.7070E-008
1515.429900,6.4430E-008,1515.429900,2.3600E-005,1515.429900,6.2760E-009,1515.429900,1.9640E-008,1515.429900,1.9640E-008
1515.480800,6.3390E-008,1515.480800,2.3540E-005,1515.480800,5.7340E-009,1515.480800,-5.6550E-009,1515.480800,-5.6550E-009
1515.531700,5.7500E-008,1515.531700,2.3510E-005,1515.531700,4.1560E-009,1515.531700,1.7090E-008,1515.531700,1.7090E-008
1515.582600,4.2980E-008,1515.582600,2.3410E-005,1515.582600,2.9230E-009,1515.582600,-2.9340E-009,1515.582600,-2.9340E-009
1515.633500,4.1590E-008,1515.633500,2.3340E-005,1515.633500,4.5440E-009,1515.633500,2.4710E-009,1515.633500,2.4710E-009
1515.684400,2.9430E-008,1515.684400,2.3310E-005,1515.684400,-4.3150E-010,1515.684400,-2.3700E-009,1515.684400,-2.3700E-009
1515.735300,3.3900E-008,1515.735300,2.3240E-005,1515.735300,4.4070E-009,1515.735300,1.3530E-008,1515.735300,1.3530E-008
1515.786200,4.5740E-008,1515.786200,2.3180E-005,1515.786200,4.7170E-009,1515.786200,2.4720E-008,1515.786200,2.4720E-008
1515.837100,2.9930E-008,1515.837100,2.3150E-005,1515.837100,6.8090E-010,1515.837100,3.8370E-010,1515.837100,3.8370E-010
1515.888000,6.0580E-008,1515.888000,2.3040E-005,1515.888000,4.9240E-009,1515.888000,1.9520E-009,1515.888000,1.9520E-009
1515.938900,4.3930E-008,1515.938900,2.3040E-005,1515.938900,1.9940E-009,1515.938900,7.7870E-010,1515.938900,7.7870E-010
1515.989800,5.3890E-008,1515.989800,2.2920E-005,1515.989800,1.9660E-009,1515.989800,-1.3540E-010,1515.989800,-1.3540E-010
1516.040700,4.2920E-008,1516.040700,2.2870E-005,1516.040700,4.0430E-009,1516.040700,-1.2410E-009,1516.040700,-1.2410E-009
1516.091600,4.6500E-008,1516.091600,2.2830E-005,1516.091600,3.8920E-009,1516.091600,-7.4150E-009,1516.091600,-7.4150E-009
1516.142500,5.2220E-008,1516.142500,2.2770E-005,1516.142500,4.4080E-010,1516.142500,1.0020E-008,1516.142500,1.0020E-008
1516.193400,3.9080E-008,1516.193400,2.2680E-005,1516.193400,3.3070E-009,1516.193400,6.2640E-009,1516.193400,6.2640E-009
1516.244300,6.2360E-008,1516.244300,2.2640E-005,1516.244300,5.9400E-009,1516.244300,2.0560E-008,1516.244300,2.0560E-008
1516.295200,5.2730E-008,1516.295200,2.2520E-005,1516.295200,1.9920E-009,1516.295200,-5.1800E-009,1516.295200,-5.1800E-009
1516.346100,4.0130E-008,1516.346100,2.2500E-005,1516.346100,3.6220E-009,1516.346100,1.5090E-008,1516.346100,1.5090E-008
1516.397000,2.0540E-008,1516.397000,2.2460E-005,1516.397000,6.2470E-009,1516.397000,1.7830E-009,1516.397000,1.7830E-009
1516.447900,4.9090E-008,1516.447900,2.2390E-005,1516.447900,1.2340E-008,1516.447900,-2.2570E-009,1516.447900,-2.2570E-009
1516.498800,4.2740E-008,1516.498800,2.2250E-005,1516.498800,2.5140E-009,1516.498800,1.5390E-008,1516.498800,1.5390E-008
1516.549700,3.9380E-008,1516.549700,2.2240E-005,1516.549700,2.1460E-009,1516.549700,1.3340E-008,1516.549700,1.3340E-008
1516.600600,4.2780E-008,1516.600600,2.2150E-005,1516.600600,2.1440E-009,1516.600600,1.5920E-008,1516.600600,1.5920E-008
1516.651500,6.4530E-008,1516.651500,2.2080E-005,1516.651500,3.1240E-009,1516.651500,-1.4670E-009,1516.651500,-1.4670E-009
1516.702400,9.0120E-008,1516.702400,2.2040E-005,1516.702400,7.6660E-009,1516.702400,2.0410E-008,1516.702400,2.0410E-008
1516.753300,4.8360E-008,1516.753300,2.1950E-005,1516.753300,4.8200E-009,1516.753300,-2.2570E-010,1516.753300,-2.2570E-010
1516.804200,4.5290E-008,1516.804200,2.1870E-005,1516.804200,4.3130E-009,1516.804200,-1.5570E-009,1516.804200,-1.5570E-009
1516.855100,3.4710E-008,1516.855100,2.1780E-005,1516.855100,3.1290E-009,1516.855100,9.5030E-009,1516.855100,9.5030E-009
